describe,introduce,star,serial_number,evaluate,movie_name
希望让人自由。,1994/美国/犯罪剧情,9.6,1,1142987人评价,肖申克的救赎
风华绝代。,1993/中国大陆香港/剧情爱情同性,9.6,2,833992人评价,霸王别姬
怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,9.4,3,1056329人评价,这个杀手不太冷
一部美国近现代史。,1994/美国/剧情爱情,9.4,4,902267人评价,阿甘正传
最美的谎言。,1997/意大利/剧情喜剧爱情战争,9.5,5,526360人评价,美丽人生
失去的才是永恒的。 ,1997/美国/剧情爱情灾难,9.3,6,838412人评价,泰坦尼克号
最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,9.3,7,837421人评价,千与千寻
拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,9.4,8,475563人评价,辛德勒的名单
诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,9.3,9,925710人评价,盗梦空间
小瓦力，大人生。,2008/美国/爱情科幻动画冒险,9.3,10,611356人评价,机器人总动员
永远都不能忘记你所爱的人。,2009/美国英国/剧情,9.3,11,591289人评价,忠犬八公的故事
英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,9.2,12,830625人评价,三傻大闹宝莱坞
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,9.2,13,698646人评价,海上钢琴师
天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,9.2,14,565903人评价,放牛班的春天
一生所爱。,1995/香港中国大陆/喜剧爱情奇幻冒险,9.2,15,621728人评价,大话西游之大圣娶亲
如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,9.1,16,597939人评价,楚门的世界
千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,9.2,17,419746人评价,教父
人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,9.1,18,515381人评价,龙猫
爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,9.2,19,619675人评价,星际穿越
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,9.2,20,345902人评价,熔炉
香港电影史上永不过时的杰作。,2002/香港/剧情犯罪悬疑,9.1,21,506480人评价,无间道
满满温情的高雅喜剧。,2011/法国/剧情喜剧,9.2,22,448672人评价,触不可及
平民励志片。 ,2006/美国/剧情传记家庭,9.0,23,665168人评价,当幸福来敲门
Tomorrow is another day.,1939/美国/剧情历史爱情战争,9.2,24,321644人评价,乱世佳人
真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,9.0,25,711159人评价,怦然心动
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,9.1,26,669212人评价,疯狂动物城
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,9.1,27,356049人评价,天堂电影院
